Trade #,Type,Signal,Date/Time,Price EUR,Contracts,Profit EUR,Profit %,Cum. Profit EUR,Cum. Profit %,Run-up EUR,Run-up %,Drawdown EUR,Drawdown %
419,Exit Short,Close entry(s) order Short,2023-05-11 09:00,1.1460,97278,134.19,0.12,11742.58,0.12,271.38,0.24,681.95,0.61
419,Entry Short,Short Keltner Span=0.0143530286,2023-05-08 17:00,1.1474,97278,134.19,0.12,11742.58,0.12,271.38,0.24,681.95,0.61
418,Exit Short,Close entry(s) order Short,2023-03-21 01:00,1.1400,97475,241.69,0.22,11608.39,0.22,866.53,0.78,293.43,0.26
418,Entry Short,Short Keltner Span=0.0176256502,2023-03-15 05:00,1.1425,97475,241.69,0.22,11608.39,0.22,866.53,0.78,293.43,0.26
417,Exit Long,Close entry(s) order Long,2023-03-09 01:00,1.1241,99055,-31.72,-0.03,11366.70,-0.03,107.96,0.1,407.13,0.37
417,Entry Long,Long Keltner Span=0.0159643568,2023-03-07 05:00,1.1244,99055,-31.72,-0.03,11366.70,-0.03,107.96,0.1,407.13,0.37
416,Exit Short,Close entry(s) order Short,2023-02-24 05:00,1.1336,97744,291.23,0.26,11398.42,0.26,448.62,0.4,157.39,0.14
416,Entry Short,Short Keltner Span=0.0160615107,2023-02-21 09:00,1.1366,97744,291.23,0.26,11398.42,0.26,448.62,0.4,157.39,0.14
415,Exit Long,Close entry(s) order Long,2023-02-07 09:00,1.1228,98956,67.27,0.06,11107.19,0.06,404.72,0.36,842.13,0.76
415,Entry Long,Long Keltner Span=0.01814655,2023-02-02 01:00,1.1221,98956,67.27,0.06,11107.19,0.06,404.72,0.36,842.13,0.76
414,Exit Short,Close entry(s) order Short,2023-01-20 01:00,1.1394,97004,259.91,0.23,11039.92,0.23,406.42,0.37,427.82,0.39
414,Entry Short,Short Keltner Span=0.0189067085,2023-01-18 09:00,1.1421,97004,259.91,0.23,11039.92,0.23,406.42,0.37,427.82,0.39
413,Exit Long,Stop Long,2022-12-22 09:00,1.1320,97863,-1469.94,-1.31,10780.01,-1.31,341.52,0.3,1468.95,1.31
413,Entry Long,Long Keltner Span=0.0193459265,2022-12-15 09:00,1.1470,97863,-1469.94,-1.31,10780.01,-1.31,341.52,0.3,1468.95,1.31
412,Exit Short,Close entry(s) order Short,2022-12-05 05:00,1.1605,95467,723.55,0.65,12249.95,0.65,762.74,0.68,58.28,0.05
412,Entry Short,Short Keltner Span=0.0228865797,2022-12-02 09:00,1.1681,95467,723.55,0.65,12249.95,0.65,762.74,0.68,58.28,0.05
411,Exit Short,Close entry(s) order Short,2022-11-28 01:00,1.1567,95715,400.00,0.36,11526.40,0.36,439.29,0.4,527.43,0.47
411,Entry Short,Short Keltner Span=0.0248502838,2022-11-23 13:00,1.1609,95715,400.00,0.36,11526.40,0.36,439.29,0.4,527.43,0.47
410,Exit Long,Close entry(s) order Long,2022-11-10 05:00,1.1468,96902,879.81,0.8,11126.40,0.8,977.71,0.89,504.89,0.46
410,Entry Long,Long Keltner Span=0.0273041729,2022-11-09 05:00,1.1377,96902,879.81,0.8,11126.40,0.8,977.71,0.89,504.89,0.46
409,Exit Long,Close entry(s) order Long,2022-11-07 13:00,1.1489,95959,209.11,0.19,10246.59,0.19,373.24,0.34,893.42,0.81
409,Entry Long,Long Keltner Span=0.0258002782,2022-11-03 05:00,1.1467,95959,209.11,0.19,10246.59,0.19,373.24,0.34,893.42,0.81
408,Exit Short,Close entry(s) order Short,2022-11-02 13:00,1.1600,94950,-58.97,-0.05,10037.48,-0.05,340.82,0.31,675.15,0.61
408,Entry Short,Short Keltner Span=0.0311007414,2022-10-27 09:00,1.1594,94950,-58.97,-0.05,10037.48,-0.05,340.82,0.31,675.15,0.61
407,Exit Short,Close entry(s) order Short,2022-10-18 01:00,1.1456,94374,988.93,0.91,10096.45,0.91,999.36,0.92,878.68,0.81
407,Entry Short,Short Keltner Span=0.0356442171,2022-10-13 05:00,1.1561,94374,988.93,0.91,10096.45,0.91,999.36,0.92,878.68,0.81
406,Exit Short,Stop Short,2022-10-03 05:00,1.1473,97644,-1466.66,-1.33,9107.52,-1.33,272.40,0.25,1465.66,1.33
406,Entry Short,Short Keltner Span=0.0354684182,2022-09-29 13:00,1.1323,97644,-1466.66,-1.33,9107.52,-1.33,272.40,0.25,1465.66,1.33
405,Exit Long,Close entry(s) order Long,2022-09-29 01:00,1.1210,98639,658.88,0.6,10574.18,0.6,857.16,0.78,1105.76,1.01
405,Entry Long,Long Keltner Span=0.0341313535,2022-09-28 01:00,1.1143,98639,658.88,0.6,10574.18,0.6,857.16,0.78,1105.76,1.01
404,Exit Long,Stop Long,2022-09-25 17:00,1.1165,98447,-1478.70,-1.33,9915.30,-1.33,77.76,0.07,1477.71,1.33
404,Entry Long,Long Keltner Span=0.0200658786,2022-09-23 05:00,1.1315,98447,-1478.70,-1.33,9915.30,-1.33,77.76,0.07,1477.71,1.33
403,Exit Long,Close entry(s) order Long,2022-09-20 05:00,1.1417,97569,37.03,0.03,11394.01,0.03,467.33,0.42,342.49,0.31
403,Entry Long,Long Keltner Span=0.0207601109,2022-09-16 01:00,1.1413,97569,37.03,0.03,11394.01,0.03,467.33,0.42,342.49,0.31
402,Exit Long,Close entry(s) order Long,2022-09-12 09:00,1.1540,96497,268.19,0.24,11356.98,0.24,471.84,0.42,473.84,0.43
402,Entry Long,Long Keltner Span=0.0199167825,2022-09-07 13:00,1.1512,96497,268.19,0.24,11356.98,0.24,471.84,0.42,473.84,0.43
401,Exit Long,Close entry(s) order Long,2022-09-05 17:00,1.1634,95487,1010.16,0.92,11088.79,0.92,1020.71,0.93,1.00,0
401,Entry Long,Long Keltner Span=0.0202168759,2022-09-02 05:00,1.1528,95487,1010.16,0.92,11088.79,0.92,1020.71,0.93,1.00,0
400,Exit Long,Stop Long,2022-08-31 09:00,1.1565,95183,-1429.74,-1.28,10078.63,-1.28,170.33,0.15,1428.75,1.28
400,Entry Long,Long Keltner Span=0.0179460214,2022-08-29 05:00,1.1715,95183,-1429.74,-1.28,10078.63,-1.28,170.33,0.15,1428.75,1.28
399,Exit Short,Close entry(s) order Short,2022-08-04 05:00,1.1877,93681,119.79,0.11,11508.37,0.11,289.41,0.26,928.44,0.83
399,Entry Short,Short Keltner Span=0.0203588908,2022-07-26 09:00,1.1890,93681,119.79,0.11,11508.37,0.11,289.41,0.26,928.44,0.83
398,Exit Short,Stop Short,2022-07-13 01:00,1.1896,96066,-1442.99,-1.28,11388.58,-1.28,56.64,0.05,1441.99,1.28
398,Entry Short,Short Keltner Span=0.0283657145,2022-07-07 01:00,1.1746,96066,-1442.99,-1.28,11388.58,-1.28,56.64,0.05,1441.99,1.28
397,Exit Long,Close entry(s) order Long,2022-06-15 13:00,1.1647,96876,1024.89,0.92,12831.57,0.92,1277.76,1.14,756.63,0.68
397,Entry Long,Long Keltner Span=0.0222203389,2022-06-14 05:00,1.1541,96876,1024.89,0.92,12831.57,0.92,1277.76,1.14,756.63,0.68
396,Exit Long,Close entry(s) order Long,2022-05-24 05:00,1.1656,95922,-40.37,-0.04,11806.69,-0.04,267.58,0.24,68.15,0.06
396,Entry Long,Long Keltner Span=0.0227391282,2022-05-24 01:00,1.1660,95922,-40.37,-0.04,11806.69,-0.04,267.58,0.24,68.15,0.06
395,Exit Short,Close entry(s) order Short,2022-05-18 01:00,1.1792,93331,893.98,0.81,11847.06,0.81,1109.64,1,47.67,0.04
395,Entry Short,Short Keltner Span=0.023636949,2022-05-17 01:00,1.1888,93331,893.98,0.81,11847.06,0.81,1109.64,1,47.67,0.04
394,Exit Long,Close entry(s) order Long,2022-05-12 05:00,1.1736,94541,35.82,0.03,10953.08,0.03,273.17,0.25,1239.49,1.12
394,Entry Long,Long Keltner Span=0.0205913093,2022-05-05 05:00,1.1732,94541,35.82,0.03,10953.08,0.03,273.17,0.25,1239.49,1.12
393,Exit Long,Close entry(s) order Long,2022-04-27 05:00,1.1907,93153,-20.63,-0.02,10917.26,-0.02,241.20,0.22,951.16,0.86
393,Entry Long,Long Keltner Span=0.0177267021,2022-04-22 01:00,1.1909,93153,-20.63,-0.02,10917.26,-0.02,241.20,0.22,951.16,0.86
392,Exit Short,Close entry(s) order Short,2022-04-19 01:00,1.2063,91247,426.86,0.39,10937.90,0.39,601.23,0.54,1.00,0
