,Trade #,Type,Signal,Price,Date/Time,Contracts,Profit,Profit %,Cum. Profit,Cum. Profit %,Run-up,Run-up %,Drawdown,Drawdown %
1,1,Entry Long,Long | 0.99058,0.99069,2022-11-02T05:00:00Z,10000,-8.4,-0.08,-8.4,0,5.6,0.06,9.7,0.1
2,1,Exit Long,Exit Long | 0.98972,0.98985,2022-11-02T05:45:00Z,10000,-8.4,-0.08,-8.4,0,5.6,0.06,9.7,0.1
3,2,Entry Long,Long | 0.99084,0.99105,2022-11-02T08:15:00Z,10000,-13.3,-0.13,-21.7,0,2.4,0.02,13.3,0.13
4,2,Exit Long,Exit Long | 0.98991,0.98972,2022-11-02T08:45:00Z,10000,-13.3,-0.13,-21.7,0,2.4,0.02,13.3,0.13
5,3,Entry Short,Short | 0.98832,0.98823,2022-11-02T09:45:00Z,10000,-3.2,-0.03,-24.9,0,21.7,0.22,3.8,0.04
6,3,Exit Short,Exit Short | 0.98833,0.98855,2022-11-02T12:45:00Z,10000,-3.2,-0.03,-24.9,0,21.7,0.22,3.8,0.04
7,4,Entry Long,Long | 0.9944,0.99437,2022-11-02T13:15:00Z,10000,-59.2,-0.6,-84.1,-0.01,25.5,0.26,66.2,0.67
8,4,Exit Long,Exit Long | 0.98869,0.98845,2022-11-02T14:00:00Z,10000,-59.2,-0.6,-84.1,-0.01,25.5,0.26,66.2,0.67
9,5,Entry Short,Short | 0.98406,0.98329,2022-11-02T14:30:00Z,10000,13.9,0.14,-70.2,0,18.7,0.19,11.4,0.12
10,5,Exit Short,Exit Short | 0.98203,0.9819,2022-11-02T17:45:00Z,10000,13.9,0.14,-70.2,0,18.7,0.19,11.4,0.12
11,6,Entry Short,Short | 0.97819,0.97885,2022-11-03T03:00:00Z,10000,8.3,0.08,-61.9,0,8.3,0.08,4.1,0.04
12,6,Exit Short,Exit Short | 0.97926,0.97802,2022-11-03T03:15:00Z,10000,8.3,0.08,-61.9,0,8.3,0.08,4.1,0.04
13,7,Entry Short,Short | 0.97745,0.97791,2022-11-03T03:30:00Z,10000,29.2,0.3,-32.7,0,39,0.4,0,0
14,7,Exit Short,Exit Short | 0.97522,0.97499,2022-11-03T07:00:00Z,10000,29.2,0.3,-32.7,0,39,0.4,0,0
15,8,Entry Long,Long | 0.97717,0.97761,2022-11-03T22:00:00Z,10000,8.8,0.09,-23.9,0,18.8,0.19,3.9,0.04
16,8,Exit Long,Exit Long | 0.9788,0.97849,2022-11-04T01:30:00Z,10000,8.8,0.09,-23.9,0,18.8,0.19,3.9,0.04
17,9,Entry Long,Long | 0.98114,0.98083,2022-11-04T06:15:00Z,10000,-12.7,-0.13,-36.6,0,1.6,0.02,12.7,0.13
18,9,Exit Long,Exit Long | 0.97973,0.97956,2022-11-04T07:15:00Z,10000,-12.7,-0.13,-36.6,0,1.6,0.02,12.7,0.13
19,10,Entry Long,Long | 0.98082,0.98083,2022-11-04T07:45:00Z,10000,87.3,0.89,50.7,0.01,128.8,1.31,0,0
20,10,Exit Long,Exit Long | 0.9894,0.98956,2022-11-04T10:45:00Z,10000,87.3,0.89,50.7,0.01,128.8,1.31,0,0
21,11,Entry Long,Long | 0.99627,0.99626,2022-11-05T13:30:00Z,10000,-0.6,-0.01,50.1,0,2.5,0.03,1.5,0.02
22,11,Exit Long,Exit Long | 0.99611,0.9962,2022-11-05T14:00:00Z,10000,-0.6,-0.01,50.1,0,2.5,0.03,1.5,0.02
23,12,Entry Short,Short | 0.99595,0.99596,2022-11-05T17:15:00Z,10000,0.1,0,50.2,0,0.1,0,0,0
24,12,Exit Short,Exit Short | 0.99596,0.99595,2022-11-05T18:00:00Z,10000,0.1,0,50.2,0,0.1,0,0,0
25,13,Entry Short,Short | 0.99579,0.99569,2022-11-06T02:30:00Z,10000,2.8,0.03,53,0,7.7,0.08,0.9,0.01
