Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
1033,Exit Short,Exit Short | 1.12266,2023-07-14 8:05,1.1224,10000,-1.4,-0.01,352.7,0,12.7,0.11,4.9,0.04
1033,Entry Short,Short | 1.1228,2023-07-14 7:13,1.12226,10000,-1.4,-0.01,352.7,0,12.7,0.11,4.9,0.04
1032,Exit Short,Exit Short | 1.12309,2023-07-14 7:05,1.1228,10000,2.9,0.03,354.1,0,2.9,0.03,0,0
1032,Entry Short,Short | 1.12275,2023-07-14 7:03,1.12309,10000,2.9,0.03,354.1,0,2.9,0.03,0,0
1031,Exit Short,Exit Short | 1.12314,2023-07-14 6:59,1.123,10000,1.4,0.01,351.2,0,1.4,0.01,0,0
1031,Entry Short,Short | 1.12265,2023-07-14 6:59,1.12314,10000,1.4,0.01,351.2,0,1.4,0.01,0,0
1030,Exit Short,Exit Short | 1.12287,2023-07-14 6:10,1.1226,10000,2.7,0.02,349.8,0,2.7,0.02,0,0
1030,Entry Short,Short | 1.12232,2023-07-14 6:10,1.12287,10000,2.7,0.02,349.8,0,2.7,0.02,0,0
1029,Exit Short,Exit Short | 1.12261,2023-07-14 6:07,1.12232,10000,2.9,0.03,347.1,0,2.9,0.03,0,0
1029,Entry Short,Short | 1.12217,2023-07-14 6:06,1.12261,10000,2.9,0.03,347.1,0,2.9,0.03,0,0
1028,Exit Short,Exit Short | 1.12287,2023-07-14 6:05,1.12217,10000,7,0.06,344.2,0,7,0.06,0,0
1028,Entry Short,Short | 1.12198,2023-07-14 6:03,1.12287,10000,7,0.06,344.2,0,7,0.06,0,0
1027,Exit Short,Exit Short | 1.12251,2023-07-14 5:31,1.12248,10000,0.3,0,337.2,0,0.3,0,0,0
1027,Entry Short,Short | 1.12165,2023-07-14 5:31,1.12251,10000,0.3,0,337.2,0,0.3,0,0,0
